Parametre;Coefficient de corellation;Count;Top;List
AMPA;0.14892619433333332;12;0.74949632;0.74949632,0.709253717,0.421719963,-0.328485939,0.255211497,0.204081706,-0.156492429,0.145847307,-0.142761392,-0.080347876,0.071093219,-0.061501761
Mésotrione;0.1478925648125;16;0.868236129;0.868236129,0.584206804,0.519410145,0.454669176,-0.322303999,0.291206906,-0.269855378,0.205065444,0.151098283,0.109881128,-0.09605204,-0.08392081,-0.062756301,0.059570389,-0.036147729,-0.00602711
Trichloroaniline-2,4,6;0.1412889542777778;18;0.853547704;0.853547704,-0.683221899,0.561132303,0.533798806,0.48850421,0.446291428,0.426090341,-0.391553542,-0.377159722,0.358378172,0.337318922,-0.313903114,-0.294732351,0.231198747,0.229299472,0.136454769,0.109949748,-0.108192817
Coumaphos;0.14082546759999998;25;0.74536798;0.74536798,0.699301626,-0.657880869,0.569760999,0.522655487,0.46143191,0.456743156,-0.43894306,0.417566981,0.413503632,0.390071194,0.339407825,-0.307702075,-0.242006776,0.224869186,-0.202096791,-0.201448846,0.198429219,0.131882956,0.102009857,-0.080957973,-0.049837834,0.039783143,-0.029802259,0.018528022
2-Chloro-4 méthylaniline;0.14080823999999997;25;0.846557383;0.846557383,-0.58832731,0.584484499,0.533888007,0.52580156,0.502117974,0.451652112,-0.392412701,0.347601965,0.306771134,0.235002813,0.225343289,0.157731932,-0.150529756,0.129839845,-0.123408507,0.122061943,0.120382078,-0.113196357,-0.090340604,-0.08274299,0.051349212,-0.045134329,-0.021222186,-0.013065006
2-Chloro-6-methylaniline;0.14080823999999997;25;0.846557383;0.846557383,-0.58832731,0.584484499,0.533888007,0.52580156,0.502117974,0.451652112,-0.392412701,0.347601965,0.306771134,0.235002813,0.225343289,0.157731932,-0.150529756,0.129839845,-0.123408507,0.122061943,0.120382078,-0.113196357,-0.090340604,-0.08274299,0.051349212,-0.045134329,-0.021222186,-0.013065006
2,3,4-Trichloroaniline;0.14069346405555558;18;0.854434413;0.854434413,-0.683221899,0.561132303,0.528943076,0.48850421,0.446291428,0.426090341,-0.399650576,-0.377159722,0.358378172,0.337318922,-0.313903114,-0.294732351,0.236325276,0.228761244,0.133213699,0.109949748,-0.108192817
Chloronitrobenzène-1,2;0.14055162499999996;25;0.754803043;0.754803043,0.723781553,-0.58832731,0.508345325,0.502117974,0.466681841,-0.392412701,0.356353034,0.347601965,0.306771134,0.247541465,0.235002813,0.215860522,0.157731932,-0.150529756,-0.123408507,0.122061943,-0.113196357,0.10192815,0.100383797,-0.098432524,-0.090340604,-0.08274299,0.051349212,-0.045134329
DDT 44';0.14040599866666664;21;0.890385586;0.890385586,0.766078323,0.595151519,0.452111397,-0.259158201,0.20939767,-0.178740934,0.174720438,0.135239714,0.12561809,0.067666281,0.057070337,-0.054890079,-0.032124169,0,0,0,0,0,0,0
Boscalid;-0.14004510461111114;18;0.665607392;0.665607392,-0.591895545,-0.554997146,-0.533166218,0.447577166,-0.446291428,-0.384799863,-0.344884841,-0.337318922,-0.321689789,0.21551226,-0.205108903,-0.121842494,0.108192817,-0.068591074,-0.066461791,0.033007105,-0.013660609
Acénaphtène;-0.1351250309583333;24;-0.526412946;-0.526412946,-0.497929831,0.487480969,-0.465491384,-0.311297684,-0.307291878,-0.306608623,-0.30167461,0.294871795,-0.293972368,-0.23405258,-0.228419805,-0.227883709,-0.226284255,-0.209778553,0.197565832,-0.15033051,0.132778944,-0.112483297,-0.055332067,0.053636936,0.033884002,0.014169794,-0.002144915
Pentabromodiphényl éther (congénère 99);0.13434005860000003;20;0.810517067;0.810517067,-0.634519494,0.626238376,0.574618731,0.532613579,-0.431934882,-0.371671356,0.363419841,-0.352909456,0.350624325,0.294683949,0.282308711,0.261231104,0.193212725,0.181684811,0.158256129,-0.095957638,-0.072338173,0.024819261,-0.008096438
Fénamidone;0.13200699107142858;14;0.876546595;0.876546595,0.824337746,-0.598028308,0.558622743,-0.545128747,0.493343014,0.442584215,-0.437031584,0.267985375,0.113573048,-0.072454953,-0.069087339,-0.015612088,0.008448158
PCB 194;0.1319906282;10;0.616203689;0.616203689,0.54841966,0.280960347,-0.228988251,0.21061617,-0.198462511,0.07599696,0.015160218,0,0
Métaldéhyde;-0.13038516581818183;11;-0.592908444;-0.592908444,-0.450187343,0.346045583,-0.319475848,-0.2840964,-0.268262816,0.145869516,0.139455294,-0.124000875,-0.115441023,0.088765532
Ethylbenzène;0.13031486823076924;13;0.657880869;0.657880869,0.462894058,-0.448866446,0.363169944,0.314429148,0.30167461,0.267505739,-0.189242415,-0.131882956,0.112483297,-0.053636936,0.048615472,-0.010931097
Tributylétain cation;-0.130114751625;16;-0.553405501;-0.553405501,-0.481562295,0.354738024,-0.341714354,0.288366572,-0.268050706,-0.226197825,-0.191490877,-0.181120803,-0.158861617,-0.155713151,-0.134867675,-0.110020942,0.104025473,-0.100153676,0.074193327
Méthyl-2-Fluoranthène;0.1288386998;10;0.616203689;0.616203689,0.516900376,0.280960347,-0.228988251,0.21061617,-0.198462511,0.07599696,0.015160218,0,0
Pentabromodiphényl éther (congénère 100);0.12883514655000003;20;0.810517067;0.810517067,-0.637320285,0.626238376,0.574618731,-0.549078233,0.532613579,-0.371671356,0.363419841,-0.352909456,0.350624325,0.294683949,0.282308711,0.270219724,0.193212725,0.181684811,0.158256129,-0.095957638,-0.071480892,0.024819261,-0.008096438
Triazamate;0.12725743350000004;14;0.659767477;0.659767477,-0.598028308,0.558622743,0.442584215,-0.437031584,-0.426348189,0.332244275,0.306254167,0.277312656,0.267985375,0.252478604,0.113573048,0.047801678,-0.015612088
Difénoconazole;0.12636795731249997;16;0.864622246;0.864622246,0.587675928,0.469965738,0.407565667,-0.360780019,-0.244180518,0.21555386,-0.19230122,0.176139901,0.138438805,-0.110125188,-0.07172515,0.059809308,0.049096967,0.040458518,-0.008327526
phosmet;0.1254242059090909;11;0.915599952;0.915599952,0.733213943,0.533343572,-0.419525317,-0.233169117,0.162899834,-0.136604208,-0.097871835,-0.086784487,0.079752596,-0.071188668
Bentazone;-0.12367000063999999;25;0.607996955;0.607996955,-0.587827303,-0.569760999,0.558593955,-0.517616866,-0.478639314,-0.456743156,-0.446470098,-0.391440235,-0.357017463,0.34557367,-0.340434963,-0.327396061,-0.31137002,-0.305548249,0.298454923,0.29050367,0.251620544,-0.238571274,0.198414584,-0.16702859,-0.155103283,0.080957973,-0.059960838,-0.012937578
Température de l'Eau;0.12063016915625001;32;0.69273896;0.69273896,0.690267957,0.591699666,0.552321631,0.466792005,-0.400089144,-0.373625682,0.370305769,0.363730606,0.296990431,-0.296369926,0.28608966,-0.268337187,0.259678552,0.249162878,0.238835478,0.234216297,0.227084939,0.226392193,-0.220879394,0.216282142,-0.207652193,-0.168694474,0.155594277,-0.140303059,-0.13808708,0.134763957,-0.119817488,-0.101223451,0.082649031,-0.059630906,0.019278968
